FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.256525653,0.745899081,0.708654642,0.780903637
0.257313231,0.746308744,0.709060669,0.781250000
0.258100810,0.746712744,0.709930301,0.781250000
0.258888389,0.746712744,0.709930301,0.781250000
0.259675968,0.747148693,0.709991872,0.781549156
0.260463546,0.747530162,0.709991872,0.781549156
0.261251125,0.747530162,0.709991872,0.781549156
0.262038704,0.747921705,0.710391819,0.781549156
0.262826283,0.748301327,0.710616410,0.781549156
0.263613861,0.748653293,0.712396681,0.782094598
0.264401440,0.748653293,0.712396681,0.782094598
0.265189019,0.749018192,0.712428927,0.782094598
0.265976598,0.749288678,0.712428927,0.782419503
0.266764176,0.749288678,0.712428927,0.782419503
0.267551755,0.749580741,0.713223159,0.782877326
0.268339334,0.749838829,0.713737547,0.782877326
0.269126913,0.749838829,0.713737547,0.782877326
0.269914491,0.750187159,0.714285731,0.782926857
0.270702070,0.750500381,0.714285731,0.782926857
0.271489649,0.750824153,0.714505017,0.783112586
0.272277228,0.750824153,0.714505017,0.783112586
0.273064806,0.751110435,0.715710700,0.783112586
0.273852385,0.751430809,0.716039896,0.784160137
0.274639964,0.751430809,0.716039896,0.784160137
0.275427543,0.751708269,0.716442943,0.784399629
0.276215122,0.752019882,0.716442943,0.784642518
0.277002700,0.752019882,0.716442943,0.784642518
0.277790279,0.752303958,0.718115330,0.784642518
0.278577858,0.752576530,0.718367338,0.785596013
0.279365437,0.752853692,0.718367338,0.786152482
0.280153015,0.752853692,0.718367338,0.786152482
0.280940594,0.753122032,0.719866991,0.786152482
0.281728173,0.753402233,0.720000029,0.786178887
0.282515752,0.753402233,0.720000029,0.786178887
0.283303330,0.753688991,0.720000029,0.786885262
0.284090909,0.753962219,0.720871747,0.786885262
0.284878488,0.753962219,0.720871747,0.786885262
0.285666067,0.754245996,0.720871747,0.787028909
0.286453645,0.754487574,0.720871747,0.787290394
0.287241224,0.754770756,0.721285164,0.788173020
0.288028803,0.754770756,0.721285164,0.788173020
0.288816382,0.755044699,0.721285164,0.789055586
0.289603960,0.755357683,0.721822560,0.789382100
0.290391539,0.755357683,0.721822560,0.789382100
0.291179118,0.755669117,0.721822560,0.789735079
0.291966697,0.755992532,0.722266555,0.790562928
0.292754275,0.755992532,0.722266555,0.790562928
0.293541854,0.756267905,0.722269237,0.790657461
0.294329433,0.756562352,0.722548187,0.791199327
0.295117012,0.756849706,0.722621918,0.791361034
0.295904590,0.756849706,0.722621918,0.791361034
0.296692169,0.757182360,0.722621918,0.791631818
0.297479748,0.757444203,0.722621918,0.791631818
0.298267327,0.757444203,0.722621918,0.791631818
0.299054905,0.757782996,0.723475337,0.792176068
0.299842484,0.758100092,0.723714530,0.792924941
0.300630063,0.758100092,0.723714530,0.792924941
0.301417642,0.758434176,0.723714530,0.792924941
0.302205221,0.758768797,0.724854529,0.793468654
0.302992799,0.759104788,0.724854529,0.793515384
0.303780378,0.759104788,0.724854529,0.793515384
0.304567957,0.759427965,0.724854529,0.793733656
0.305355536,0.759719849,0.725301206,0.793806016
0.306143114,0.759719849,0.725301206,0.793806016
0.306930693,0.760063350,0.725913644,0.796357632
0.307718272,0.760395229,0.725913644,0.797185421
0.308505851,0.760395229,0.725913644,0.797185421
0.309293429,0.760701776,0.726502955,0.797185421
0.310081008,0.761080563,0.726804137,0.797577858
0.310868587,0.761430204,0.726907611,0.798764348
0.311656166,0.761430204,0.726907611,0.798764348
0.312443744,0.761824846,0.727055073,0.799307942
0.313231323,0.762217522,0.727349699,0.799508989
0.314018902,0.762217522,0.727349699,0.799508989
0.314806481,0.762567759,0.727351904,0.799668849
0.315594059,0.762898266,0.728595912,0.799668849
0.316381638,0.762898266,0.728595912,0.799668849
0.317169217,0.763288736,0.728595912,0.799825907
0.317956796,0.763657928,0.728595912,0.800650954
0.318744374,0.764072299,0.729072928,0.800650954
0.319531953,0.764072299,0.729072928,0.800650954
0.320319532,0.764415979,0.729072928,0.801319063
0.321107111,0.764818966,0.729381442,0.801566601
0.321894689,0.764818966,0.729381442,0.801566601
0.322682268,0.765239537,0.729381442,0.801739156
0.323469847,0.765642107,0.729381442,0.801762104
0.324257426,0.765642107,0.729381442,0.801762104
0.325045005,0.766002953,0.729381442,0.802901030
0.325832583,0.766339839,0.729381442,0.802901030
0.326620162,0.766740859,0.730300546,0.803411841
0.327407741,0.766740859,0.730300546,0.803411841
0.328195320,0.767206669,0.730404794,0.803807974
0.328982898,0.767618179,0.730833352,0.803905606
0.329770477,0.767618179,0.730833352,0.803905606
0.330558056,0.768028557,0.730899811,0.804616630
0.331345635,0.768411636,0.731112897,0.804635763
0.332133213,0.768411636,0.731112897,0.804635763
0.332920792,0.768826425,0.731266141,0.805463552
0.333708371,0.769214392,0.731790900,0.805650711
0.334495950,0.769640148,0.731790900,0.805749118
0.335283528,0.769640148,0.731790900,0.805749118
0.336071107,0.770020068,0.732606888,0.806707859
0.336858686,0.770404279,0.733013570,0.806707859
0.337646265,0.770404279,0.733013570,0.806707859
0.338433843,0.770808995,0.733167112,0.807363033
0.339221422,0.771133184,0.733167112,0.807658851
0.340009001,0.771133184,0.733167112,0.807658851
0.340796580,0.771492064,0.734210551,0.807658851
0.341584158,0.771910667,0.734829605,0.807659566
0.342371737,0.772274792,0.735834002,0.807914257
0.343159316,0.772274792,0.735834002,0.807914257
0.343946895,0.772644520,0.735993207,0.808149397
0.344734473,0.773017943,0.736632109,0.808285952
0.345522052,0.773017943,0.736632109,0.808285952
0.346309631,0.773389161,0.736632109,0.808810592
0.347097210,0.773742318,0.736842096,0.808810592
0.347884788,0.773742318,0.736842096,0.808810592
0.348672367,0.774098754,0.736842096,0.808810592
0.349459946,0.774483383,0.737649083,0.809902728
0.350247525,0.774856925,0.737789214,0.809931517
0.351035104,0.774856925,0.737789214,0.809931517
0.351822682,0.775271237,0.738474429,0.810269773
0.352610261,0.775650799,0.738474429,0.810269773
0.353397840,0.775650799,0.738474429,0.810269773
0.354185419,0.776046574,0.739473701,0.810430467
0.354972997,0.776430190,0.739795923,0.810508192
0.355760576,0.776430190,0.739795923,0.810508192
0.356548155,0.776755095,0.740611374,0.811211884
0.357335734,0.777115941,0.740611374,0.811433434
0.358123312,0.777499974,0.740802705,0.812086105
0.358910891,0.777499974,0.740802705,0.812086105
0.359698470,0.777817369,0.740802705,0.812334776
0.360486049,0.778222919,0.742375612,0.812860668
0.361273627,0.778222919,0.742375612,0.812860668
0.362061206,0.778599918,0.742375612,0.812913895
0.362848785,0.778905749,0.743150711,0.812913895
0.363636364,0.778905749,0.743150711,0.812913895
0.364423942,0.779347420,0.743355453,0.814238966
0.365211521,0.779646218,0.743405282,0.814238966
0.365999100,0.779992282,0.744147182,0.814238966
0.366786679,0.779992282,0.744147182,0.814238966
0.367574257,0.780314445,0.744644403,0.814509451
0.368361836,0.780655444,0.744644403,0.815246642
0.369149415,0.780655444,0.744644403,0.815246642
0.369936994,0.781048298,0.744799972,0.815533996
0.370724572,0.781437159,0.745851517,0.815533996
0.371512151,0.781437159,0.745851517,0.815533996
0.372299730,0.781703174,0.745851517,0.815699637
0.373087309,0.782028556,0.745851517,0.815699637
0.373874887,0.782325625,0.746575356,0.815699637
0.374662466,0.782325625,0.746575356,0.815699637
0.375450045,0.782602310,0.746602714,0.816091955
0.376237624,0.782957375,0.746902645,0.816693962
0.377025203,0.782957375,0.746902645,0.816693962
0.377812781,0.783297777,0.748672545,0.816982687
0.378600360,0.783598125,0.749599993,0.816982687
0.379387939,0.783598125,0.749599993,0.816982687
0.380175518,0.783892214,0.749800146,0.817052960
0.380963096,0.784235716,0.749808133,0.817052960
0.381750675,0.784235716,0.749808133,0.817052960
0.382538254,0.784536541,0.750403881,0.817052960
0.383325833,0.784831583,0.750403881,0.818723381
0.384113411,0.785122454,0.750856161,0.818897665
0.384900990,0.785122454,0.750856161,0.818897665
0.385688569,0.785423756,0.750856161,0.818897665
0.386476148,0.785660028,0.751037359,0.819574475
0.387263726,0.785660028,0.751037359,0.819574475
0.388051305,0.785946906,0.751327455,0.819574475
0.388838884,0.786237895,0.752019405,0.819574475
0.389626463,0.786237895,0.752019405,0.819574475
0.390414041,0.786541522,0.752568483,0.819574475
0.391201620,0.786842048,0.753796935,0.819574475
